stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Librairies\Documents\GitHub\AntiquityTrader\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.05239] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05241] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05242] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05244] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05245] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05247] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05248] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05251] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05253] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05254] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05259] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05261] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05262] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05264] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05266] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05268] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05270] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05271] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05273] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05274] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05276] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05277] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05279] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05280] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
